Project Key,Project Name,Story Key,Status,Priority,Created,Summary
OS,OPC Squad,OS-10827,Cancelado,Highest,2023-10-25T16:43:56.268-0600,Crear proceso pago de comision
OS,OPC Squad,OS-10826,Cancelado,Highest,2023-10-25T16:43:05.116-0600,Ajuste asiento de comisiones en CIA 20
OS,OPC Squad,OS-10824,Cancelado,Highest,2023-10-25T16:31:12.052-0600,Validaciones para aplicación asiento
OS,OPC Squad,OS-10823,Cancelado,Highest,2023-10-25T16:30:15.154-0600,Llamado asientos del TEO
OS,OPC Squad,OS-10822,Cancelado,Highest,2023-10-25T16:29:38.855-0600,Notificación automática aplicación asientos TEO
OS,OPC Squad,OS-10821,Cancelado,Highest,2023-10-25T16:26:51.800-0600,Creación de pantalla y proceso de carga archivos de TEO
OS,OPC Squad,OS-10820,Cancelado,Highest,2023-10-25T16:23:22.255-0600,Configuración plantillas contables
OS,OPC Squad,OS-10819,Cancelado,Highest,2023-10-25T16:22:40.960-0600,Carga de archivos del ciclo TEO al módulo
OS,OPC Squad,OS-10818,Cancelado,Highest,2023-10-25T16:20:56.006-0600,Mantenimiento de cuentas
OS,OPC Squad,OS-10817,Cancelado,Highest,2023-10-25T16:20:03.744-0600,Reporte de partidas para conciliación
OS,OPC Squad,OS-10816,Cancelado,Highest,2023-10-25T16:19:32.723-0600,Parametrización de cuentas corrientes
OS,OPC Squad,OS-10815,Cancelado,Highest,2023-10-25T16:18:56.120-0600,Proceso traslado de fondos TEO
OS,OPC Squad,OS-10813,Cancelado,Highest,2023-10-25T16:04:55.806-0600,Creación de calculadora 
OS,OPC Squad,OS-10812,Cancelado,Highest,2023-10-25T16:03:10.167-0600,Crear servicio para habilitar las proyecciones en BEL
OS,OPC Squad,OS-10811,Cancelado,Highest,2023-10-25T16:02:45.357-0600,Generación de reporte de proyecciones
OS,OPC Squad,OS-10810,Cancelado,Highest,2023-10-25T16:02:03.012-0600,Carga de variables para insumos proyecciones por demanda
OS,OPC Squad,OS-10809,Cancelado,Highest,2023-10-25T16:01:39.090-0600,Crear pantalla de cálculo proyecciones
OS,OPC Squad,OS-10808,Cancelado,Highest,2023-10-25T16:01:14.070-0600,Proceso de cálculo proyeccciones
OS,OPC Squad,OS-10806,Cancelado,Highest,2023-10-25T15:53:01.890-0600,Generación de datos para composición movimientos graficos
OS,OPC Squad,OS-10805,Cancelado,Highest,2023-10-25T15:52:40.953-0600,Crear reporte de movimientos para colectivos
OS,OPC Squad,OS-10804,Cancelado,Highest,2023-10-25T15:51:40.877-0600,Crear estructura para estados de cuenta Colectivos segmentados
OS,OPC Squad,OS-10803,Cancelado,Highest,2023-10-25T15:51:21.439-0600,Modificación estados de cuenta Colectivos
OS,OPC Squad,OS-10802,Cancelado,Highest,2023-10-25T15:50:41.909-0600,Ajustes en la generación de Spool para envíos PARADOC
OS,OPC Squad,OS-10801,Cancelado,Highest,2023-10-25T15:49:50.859-0600,Ajustar servicio con nueva estructura para los estados de cuenta BEL
OS,OPC Squad,OS-10800,Cancelado,Highest,2023-10-25T15:49:31.315-0600,Cambio para visualización estados de cuenta en BEL
OS,OPC Squad,OS-10799,Cancelado,Highest,2023-10-25T15:49:16.019-0600,Cambio para estados de cuenta PARADOC
OS,OPC Squad,OS-10798,Cancelado,Highest,2023-10-25T15:48:43.776-0600,Cambio en estructura de estados de cuenta por demanda
OS,OPC Squad,OS-10796,Cancelado,Highest,2023-10-25T15:30:34.149-0600,Generación de detalle de movimientos desde la pantalla FOMASIS2
OS,OPC Squad,OS-10795,Cancelado,Highest,2023-10-25T15:24:37.709-0600,Ajustar detalle de movimientos en BEL
DFD,Defenders,DFD-4630,Finalizada,Highest,2023-10-25T10:41:37.607-0600,Creación de Operaciones para el Evaluador
ET,BitCode Team,ET-14044,Finalizada,Highest,2023-10-25T09:33:55.844-0600,Ajuste MS de Mantenimiento
ET,BitCode Team,ET-14043,Finalizada,Highest,2023-10-24T09:36:55.411-0600,MS Connectivity: Actualización URL de consumo del Dispatcher
ET,BitCode Team,ET-14042,Finalizada,Highest,2023-10-23T15:44:15.556-0600,Spike: determinar resto de pendientes en T en conciliacion servimas
ET,BitCode Team,ET-14041,Finalizada,Highest,2023-10-23T15:44:07.652-0600,MS Reconciliation: Implementar casos de abonos en el asiento contable
ET,BitCode Team,ET-14040,Finalizada,Highest,2023-10-23T15:44:00.067-0600,MS Reconciliation: Implementar el factor de conversion en asiento contable Servimas
ET,BitCode Team,ET-14039,Finalizada,Highest,2023-10-23T15:43:51.756-0600,Modificacion de SP de conciliaciones servimas para calculo de Factor de conversion
ET,BitCode Team,ET-14038,Finalizada,Highest,2023-10-23T15:43:44.073-0600,Ajuste en tabla Servimas y carga de pagos segun nuevos datos provisto por Michael
ET,BitCode Team,ET-14037,Finalizada,Highest,2023-10-23T15:40:19.626-0600,Realizar pruebas funcionales de los MS migrados a JAVA 17
ET,BitCode Team,ET-14036,Finalizada,Highest,2023-10-23T15:40:03.915-0600,Migrar a JAVA 17 MS NOTIFICATIÓN
ET,BitCode Team,ET-14035,Finalizada,Highest,2023-10-23T15:39:56.651-0600,Migrar a JAVA 17 MS SETTLE
ET,BitCode Team,ET-14034,Finalizada,Highest,2023-10-23T15:39:46.527-0600,Migrar a JAVA 17 MS DISPATCHER
ET,BitCode Team,ET-14033,Finalizada,Highest,2023-10-23T15:39:36.005-0600,Migrar a JAVA 17 MS PAYMENT
ET,BitCode Team,ET-14032,Finalizada,Highest,2023-10-23T15:39:30.263-0600,Migrar a JAVA 17 MS SECURITY
ET,BitCode Team,ET-14031,Finalizada,Highest,2023-10-23T15:39:19.337-0600,Migrar a JAVA 17 MS RECONCILIATIÓN
